brand,Price,Rating,processor_brand,processor_tier,num_cores,num_threads,ram_memory,primary_storage_type,primary_storage_capacity,secondary_storage_type,secondary_storage_capacity,gpu_brand,gpu_type,is_touch_screen,display_size,resolution_width,resolution_height,OS,year_of_warranty,total_storage_capacity,total_pixels,ppi
tecno,23990,63,intel,core i3,2,4,8,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
tecno,35990,67,intel,core i7,4,8,16,SSD,1024,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0,1024,2073600,141.21199808219862
hp,51100,73,amd,ryzen 5,6,12,8,SSD,512,No secondary storage,0,amd,dedicated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
acer,39990,62,intel,core i5,12,16,8,SSD,512,No secondary storage,0,intel,integrated,False,14.0,1920,1080,windows,1.0,512,2073600,157.3505121487356
lenovo,28580,62,amd,ryzen 3,4,8,8,SSD,512,No secondary storage,0,amd,integrated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
apple,70990,45,apple,m1,8,8,8,SSD,256,No secondary storage,0,apple,apple,False,13.3,2560,1600,mac,1.0,256,4096000,226.98300468106115
infinix,34990,56,intel,core i5,4,8,16,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
asus,49990,70,intel,core i5,6,12,8,SSD,512,No secondary storage,0,nvidia,dedicated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
hp,36990,60,intel,core i3,6,8,8,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
infinix,59990,71,intel,core i9,14,20,32,SSD,1024,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0,1024,2073600,141.21199808219862
dell,34990,60,intel,core i3,6,8,8,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
samsung,64990,68,intel,core i5,12,16,16,SSD,512,No secondary storage,0,intel,integrated,False,13.3,1080,1920,windows,1.0,512,2073600,165.6321180513006
msi,52990,71,intel,core i5,8,12,16,SSD,512,No secondary storage,0,nvidia,dedicated,False,15.6,1920,1080,windows,2.0,512,2073600,141.21199808219862
asus,57390,71,amd,ryzen 7,8,16,16,SSD,512,No secondary storage,0,amd,integrated,False,16.0,1920,1200,windows,1.0,512,2304000,141.50971698084905
lenovo,47490,66,intel,core i5,4,8,16,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
hp,153990,85,intel,core i7,20,28,16,SSD,1024,No secondary storage,0,nvidia,dedicated,False,16.1,2560,1440,windows,1.0,1024,3686400,182.43537640433112
lenovo,49990,59,intel,core i7,10,12,16,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
asus,75990,76,intel,core i7,8,16,16,SSD,1024,No secondary storage,0,nvidia,dedicated,False,15.6,1920,1080,windows,1.0,1024,2073600,141.21199808219862
hp,55490,71,amd,ryzen 5,6,12,16,SSD,512,No secondary storage,0,nvidia,dedicated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
wings,27990,56,intel,core i5,4,8,8,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1080,1920,windows,1.0,512,2073600,141.21199808219862
hp,19299,49,amd,other,2,2,4,SSD,256,No secondary storage,0,amd,integrated,False,15.6,1366,768,dos,1.0,256,1049088,100.45466986113651
lenovo,27990,59,amd,ryzen 3,4,8,8,SSD,512,No secondary storage,0,amd,integrated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
apple,399900,65,apple,m3,16,16,8,SSD,1024,No secondary storage,0,apple,apple,False,16.2,3456,2234,mac,1.0,1024,7720704,254.0233485458816
asus,39990,57,intel,core i3,10,12,8,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
asus,27990,57,intel,core i3,2,4,8,SSD,256,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0,256,2073600,141.21199808219862
acer,77990,63,intel,core i5,8,12,16,SSD,512,No secondary storage,0,nvidia,dedicated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
hp,78990,77,amd,ryzen 7,8,16,16,SSD,1024,No secondary storage,0,nvidia,dedicated,False,16.1,1920,1080,windows,1.0,1024,2073600,136.82653230324834
ultimus,19990,54,intel,core i5,4,8,8,SSD,512,No secondary storage,0,intel,integrated,False,14.1,1920,1080,windows,1.0,512,2073600,156.23455106966654
hp,71999,66,intel,core i5,12,16,16,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
msi,66780,76,intel,core i7,8,16,16,HDD,1024,SSD,256,nvidia,dedicated,False,15.6,1920,1080,windows,,1280,2073600,141.21199808219862
samsung,44990,59,intel,core i5,10,12,8,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
samsung,47990,62,intel,core i5,10,12,16,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
lenovo,47990,71,intel,core i5,4,8,8,SSD,512,No secondary storage,0,nvidia,dedicated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
asus,46990,65,amd,ryzen 5,6,12,8,SSD,512,No secondary storage,0,amd,integrated,False,16.0,1920,1200,windows,1.0,512,2304000,141.50971698084905
apple,102990,48,apple,m2,8,8,8,SSD,256,No secondary storage,0,apple,apple,False,13.6,2560,1664,mac,1.0,256,4259840,224.5056083176765
dell,68239,66,intel,core i5,12,16,16,SSD,512,No secondary storage,0,nvidia,dedicated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
acer,46990,64,intel,core i5,10,12,16,SSD,1024,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0,1024,2073600,141.21199808219862
acer,34990,60,intel,core i3,6,8,16,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
hp,53990,62,intel,core i5,10,12,16,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
asus,63990,72,intel,core i5,8,12,16,SSD,512,No secondary storage,0,nvidia,dedicated,False,16.0,1920,1200,windows,1.0,512,2304000,141.50971698084905
asus,113571,77,amd,ryzen 9,8,16,16,SSD,512,No secondary storage,0,nvidia,dedicated,True,13.4,1920,1200,windows,1.0,512,2304000,168.96682624578992
hp,88800,71,intel,core i5,12,16,16,SSD,512,No secondary storage,0,nvidia,dedicated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
hp,53570,71,amd,ryzen 5,6,12,16,SSD,512,No secondary storage,0,amd,dedicated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
hp,116990,80,amd,ryzen 7,8,16,16,SSD,1024,No secondary storage,0,nvidia,dedicated,False,16.0,1920,1080,windows,1.0,1024,2073600,137.68169813014364
hp,70810,71,intel,core i5,8,12,16,SSD,512,No secondary storage,0,nvidia,dedicated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
dell,81290,71,intel,core i5,10,16,16,SSD,512,No secondary storage,0,nvidia,dedicated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
msi,35950,58,intel,core i5,4,8,8,SSD,512,No secondary storage,0,intel,integrated,False,14.0,1920,1080,windows,1.0,512,2073600,157.3505121487356
asus,269990,83,intel,core i9,24,32,32,SSD,1024,No secondary storage,0,nvidia,dedicated,False,16.0,2560,1600,windows,1.0,1024,4096000,188.67962264113208
msi,69990,70,intel,core i5,8,12,16,SSD,512,No secondary storage,0,nvidia,dedicated,False,15.6,1920,1080,windows,2.0,512,2073600,141.21199808219862
dell,39649,66,amd,ryzen 5,6,12,8,SSD,512,No secondary storage,0,amd,integrated,False,14.0,1920,1080,windows,1.0,512,2073600,157.3505121487356
infinix,29990,54,intel,core i5,4,8,8,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
acer,32990,58,intel,core i3,6,8,8,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
hp,83590,76,amd,ryzen 7,8,16,16,SSD,512,No secondary storage,0,nvidia,dedicated,False,16.1,1920,1080,windows,1.0,512,2073600,136.82653230324834
hp,54490,70,amd,ryzen 5,6,12,8,SSD,512,No secondary storage,0,nvidia,dedicated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
hp,42499,63,amd,ryzen 5,6,12,16,SSD,512,No secondary storage,0,amd,integrated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
infinix,27990,50,intel,core i3,6,8,8,SSD,512,No secondary storage,0,intel,integrated,False,14.0,1920,1080,windows,1.0,512,2073600,157.3505121487356
hp,147990,80,intel,core i7,16,24,16,SSD,1024,No secondary storage,0,nvidia,dedicated,False,16.1,2560,1600,windows,1.0,1024,4096000,187.50769951913745
asus,74085,75,intel,core i5,12,16,16,SSD,512,No secondary storage,0,nvidia,dedicated,False,17.3,1920,1080,windows,1.0,512,2073600,127.33567457123111
dell,86490,66,intel,core i7,12,16,16,SSD,1024,No secondary storage,0,intel,integrated,False,14.0,1920,1200,windows,1.0,1024,2304000,161.72539083525606
asus,60990,67,intel,core i7,10,16,16,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
lenovo,56990,69,amd,ryzen 5,6,12,16,SSD,512,No secondary storage,0,nvidia,dedicated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
dell,72490,70,intel,core i5,12,16,16,SSD,512,No secondary storage,0,intel,integrated,False,16.0,2560,1600,windows,1.0,512,4096000,188.67962264113208
asus,35990,64,intel,core i3,2,4,16,SSD,512,No secondary storage,0,intel,integrated,False,14.0,1920,1080,windows,1.0,512,2073600,157.3505121487356
asus,108990,78,intel,core i7,14,20,16,SSD,512,No secondary storage,0,nvidia,dedicated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
asus,57990,72,intel,core i5,6,12,16,SSD,512,No secondary storage,0,nvidia,dedicated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
hp,69999,72,intel,core i5,8,12,16,SSD,512,No secondary storage,0,nvidia,dedicated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
hp,71990,65,intel,core i5,8,12,16,SSD,512,No secondary storage,0,nvidia,dedicated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
apple,119990,53,apple,m2,8,8,8,SSD,256,No secondary storage,0,apple,apple,False,15.3,2880,1864,mac,1.0,256,5368320,224.22107567544035
infinix,26990,53,intel,celeron,4,4,8,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
hp,77899,70,intel,core i5,10,12,16,SSD,1024,No secondary storage,0,intel,integrated,True,14.0,1920,1080,windows,1.0,1024,2073600,157.3505121487356
primebook,14990,26,other,other,8,0,4,HDD,64,No secondary storage,0,arm,integrated,False,11.6,1366,768,android,1.0,64,1049088,135.0942111925629
dell,50000,60,intel,core i5,10,12,8,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
acer,56990,71,intel,core i5,12,16,16,SSD,512,No secondary storage,0,nvidia,dedicated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
hp,57990,70,intel,core i5,8,12,8,SSD,512,No secondary storage,0,nvidia,dedicated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
hp,49999,70,amd,ryzen 5,6,12,8,SSD,512,No secondary storage,0,nvidia,dedicated,False,16.1,1920,1080,windows,1.0,512,2073600,136.82653230324834
asus,72490,62,intel,core i5,12,16,16,SSD,512,No secondary storage,0,intel,integrated,False,14.0,2880,1800,windows,1.0,512,5184000,242.5880862528841
asus,69689,64,intel,core i5,12,16,16,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
iball,9800,41,intel,other,4,0,2,HDD,32,No secondary storage,0,intel,integrated,False,11.6,1366,768,windows,1.0,32,1049088,135.0942111925629
ultimus,15990,46,intel,celeron,2,2,8,SSD,256,No secondary storage,0,intel,integrated,False,14.1,1366,768,windows,1.0,256,1049088,111.1413368676404
dell,83990,72,intel,core i5,10,16,16,SSD,1024,No secondary storage,0,nvidia,dedicated,False,15.6,1920,1080,windows,1.0,1024,2073600,141.21199808219862
asus,46990,57,intel,core i5,4,8,16,SSD,512,No secondary storage,0,intel,integrated,False,14.0,1920,1080,windows,1.0,512,2073600,157.3505121487356
hp,60990,54,intel,core i5,12,16,12,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
lenovo,44990,51,intel,core i3,5,6,8,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
lenovo,34990,66,amd,ryzen 3,4,8,8,SSD,512,No secondary storage,0,amd,integrated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
hp,66990,72,intel,core i5,8,12,16,SSD,1024,No secondary storage,0,nvidia,dedicated,False,15.6,1920,1080,windows,1.0,1024,2073600,141.21199808219862
lenovo,24440,47,amd,other,2,2,8,SSD,512,No secondary storage,0,amd,integrated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
hp,51990,70,amd,ryzen 5,6,12,8,SSD,512,No secondary storage,0,nvidia,dedicated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
msi,54990,65,intel,core i5,6,12,16,SSD,512,No secondary storage,0,nvidia,dedicated,False,15.6,1920,1080,windows,2.0,512,2073600,141.21199808219862
ultimus,11990,41,intel,celeron,2,2,4,SSD,128,No secondary storage,0,intel,integrated,False,14.1,1366,768,windows,1.0,128,1049088,111.1413368676404
lenovo,48990,70,amd,ryzen 7,8,16,8,SSD,512,No secondary storage,0,amd,integrated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
msi,74990,75,intel,core i5,12,16,32,SSD,1024,No secondary storage,0,nvidia,dedicated,False,15.6,1920,1080,windows,2.0,1024,2073600,141.21199808219862
msi,49990,65,amd,ryzen 5,6,12,8,SSD,512,No secondary storage,0,amd,dedicated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
asus,53990,63,intel,core i5,12,16,16,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
asus,81689,71,intel,core i9,14,20,16,SSD,512,No secondary storage,0,intel,integrated,False,16.0,1920,1200,windows,1.0,512,2304000,141.50971698084905
lenovo,63889,63,amd,ryzen 5,6,12,16,SSD,512,No secondary storage,0,nvidia,dedicated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
lenovo,37040,59,intel,core i3,6,8,8,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
asus,94990,70,intel,core i5,10,16,16,SSD,512,No secondary storage,0,nvidia,dedicated,False,16.0,1920,1200,windows,1.0,512,2304000,141.50971698084905
infinix,35990,60,intel,core i5,4,8,16,SSD,1024,No secondary storage,0,intel,integrated,False,14.0,1920,1080,windows,1.0,1024,2073600,157.3505121487356
asus,72990,70,amd,ryzen 7,8,16,16,SSD,512,No secondary storage,0,nvidia,dedicated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
hp,55990,67,amd,ryzen 5,6,12,8,SSD,512,No secondary storage,0,nvidia,dedicated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
lenovo,94990,80,amd,ryzen 7,8,16,16,SSD,1024,No secondary storage,0,amd,integrated,True,14.0,2880,1800,windows,1.0,1024,5184000,242.5880862528841
hp,51800,57,intel,core i5,10,12,8,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
hp,49775,62,amd,ryzen 5,6,12,8,SSD,512,No secondary storage,0,amd,dedicated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
asus,53990,66,intel,core i5,6,12,8,SSD,512,No secondary storage,0,nvidia,dedicated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
lenovo,79990,70,intel,core i5,8,12,16,SSD,512,No secondary storage,0,nvidia,dedicated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
msi,41990,63,intel,core i5,4,8,16,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
acer,37990,60,amd,ryzen 5,6,12,16,SSD,512,No secondary storage,0,amd,integrated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
asus,85990,75,intel,core i7,10,16,16,SSD,1024,No secondary storage,0,nvidia,dedicated,False,14.0,2880,1800,windows,1.0,1024,5184000,242.5880862528841
acer,39499,62,intel,core i5,4,8,8,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
infinix,57990,63,intel,core i7,14,20,32,SSD,1024,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0,1024,2073600,141.21199808219862
asus,67990,72,intel,core i5,8,12,16,SSD,512,No secondary storage,0,nvidia,dedicated,False,14.0,2880,1800,windows,1.0,512,5184000,242.5880862528841
acer,94990,72,intel,core i7,10,16,16,SSD,512,No secondary storage,0,nvidia,dedicated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
asus,75250,72,intel,core i5,12,16,8,SSD,512,No secondary storage,0,nvidia,dedicated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
acer,47990,67,intel,core i5,8,12,8,SSD,512,No secondary storage,0,nvidia,dedicated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
asus,66990,64,amd,ryzen 5,6,12,16,SSD,512,No secondary storage,0,amd,integrated,False,14.0,2880,1800,windows,1.0,512,5184000,242.5880862528841
hp,43700,62,amd,ryzen 5,6,12,8,SSD,512,No secondary storage,0,amd,integrated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
asus,154990,88,intel,core i9,14,20,16,SSD,1024,No secondary storage,0,nvidia,dedicated,False,16.0,3200,2000,windows,1.0,1024,6400000,235.8495283014151
acer,119990,75,intel,core i7,16,24,16,SSD,512,No secondary storage,0,nvidia,dedicated,False,16.0,1920,1200,windows,1.0,512,2304000,141.50971698084905
acer,104990,70,intel,core i5,14,20,16,SSD,512,No secondary storage,0,nvidia,dedicated,False,16.0,1920,1200,windows,1.0,512,2304000,141.50971698084905
hp,34890,58,intel,core i3,2,4,8,HDD,1024,SSD,256,intel,integrated,False,15.6,1366,768,windows,,1280,1049088,100.45466986113651
hp,32490,54,amd,ryzen 3,4,8,8,SSD,512,No secondary storage,0,amd,integrated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
hp,43400,52,amd,ryzen 5,4,8,8,SSD,512,No secondary storage,0,amd,integrated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
lenovo,40990,66,intel,core i5,10,12,8,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
acer,30990,49,intel,core i3,8,8,8,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
lenovo,40990,64,amd,ryzen 5,6,12,16,SSD,512,No secondary storage,0,amd,integrated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
hp,31090,60,intel,core i3,2,4,8,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
dell,68990,74,intel,core i5,12,16,8,SSD,512,No secondary storage,0,nvidia,dedicated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
asus,96389,79,amd,ryzen 9,8,16,16,SSD,1024,No secondary storage,0,nvidia,dedicated,True,13.4,1920,1200,windows,1.0,1024,2304000,168.96682624578992
asus,43990,60,intel,core i5,4,8,8,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
lenovo,45651,67,intel,core i5,4,8,8,SSD,512,No secondary storage,0,nvidia,dedicated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
asus,52990,65,amd,ryzen 5,6,12,16,SSD,512,No secondary storage,0,amd,integrated,False,16.0,1920,1200,windows,1.0,512,2304000,141.50971698084905
acer,38990,64,intel,core i5,4,8,16,SSD,512,No secondary storage,0,intel,integrated,False,14.0,1920,1080,windows,1.0,512,2073600,157.3505121487356
asus,33490,56,intel,core i3,2,4,8,SSD,512,No secondary storage,0,intel,integrated,True,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
apple,109990,43,apple,m2,8,8,8,SSD,256,No secondary storage,0,apple,apple,False,13.3,2560,1600,mac,1.0,256,4096000,226.98300468106115
asus,72990,70,intel,core i7,14,20,16,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
hp,40499,60,amd,ryzen 5,6,12,8,SSD,512,No secondary storage,0,amd,integrated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
hp,202340,82,intel,core ultra 7,16,22,32,SSD,2048,No secondary storage,0,intel,dedicated,True,16.0,2880,1800,windows,1.0,2048,5184000,212.2645754712736
lenovo,35990,60,amd,ryzen 5,4,8,8,SSD,512,No secondary storage,0,amd,integrated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
lenovo,44990,64,intel,core i5,4,8,8,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
dell,148490,78,intel,core i9,24,32,16,SSD,1024,No secondary storage,0,nvidia,dedicated,False,15.6,1920,1080,windows,1.0,1024,2073600,141.21199808219862
hp,165900,76,intel,core ultra 7,16,22,32,SSD,1024,No secondary storage,0,intel,dedicated,True,14.0,2880,1800,windows,1.0,1024,5184000,242.5880862528841
apple,289900,63,apple,m3,12,12,36,SSD,512,No secondary storage,0,apple,apple,False,16.2,3456,2234,mac,1.0,512,7720704,254.0233485458816
apple,349900,64,apple,m3,14,14,36,SSD,1024,No secondary storage,0,apple,apple,False,16.2,3456,2234,mac,1.0,1024,7720704,254.0233485458816
apple,249900,58,apple,m3,12,12,8,SSD,512,No secondary storage,0,apple,apple,False,16.2,3456,2234,mac,1.0,512,7720704,254.0233485458816
apple,199900,56,apple,m3,11,11,8,SSD,512,No secondary storage,0,apple,apple,False,14.2,3024,1964,mac,1.0,512,5939136,253.93034266273992
lenovo,152990,77,intel,core i7,16,24,16,SSD,1024,No secondary storage,0,nvidia,dedicated,False,16.0,2560,1600,windows,1.0,1024,4096000,188.67962264113208
dell,37990,59,intel,core i3,6,8,8,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
hp,60990,64,intel,core i5,8,12,8,SSD,512,No secondary storage,0,nvidia,dedicated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
hp,50999,58,amd,ryzen 7,8,16,16,SSD,512,No secondary storage,0,amd,integrated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
dell,65990,53,intel,core i5,10,12,16,SSD,1024,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0,1024,2073600,141.21199808219862
acer,32990,54,amd,ryzen 5,4,8,8,SSD,512,No secondary storage,0,amd,integrated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
asus,47990,62,intel,core i3,6,8,16,SSD,512,No secondary storage,0,intel,integrated,False,16.0,1920,1200,windows,1.0,512,2304000,141.50971698084905
lenovo,132190,83,amd,ryzen 7,8,16,16,SSD,1024,No secondary storage,0,nvidia,dedicated,False,16.0,2560,1600,windows,1.0,1024,4096000,188.67962264113208
ultimus,14990,45,intel,celeron,2,2,4,SSD,256,No secondary storage,0,intel,integrated,False,14.1,1366,768,windows,1.0,256,1049088,111.1413368676404
zebronics,33990,65,intel,core i3,6,8,8,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
hp,165900,76,intel,core ultra 7,16,22,32,SSD,1024,No secondary storage,0,intel,dedicated,True,14.0,2880,1800,windows,1.0,1024,5184000,242.5880862528841
hp,39700,59,intel,core i3,6,8,8,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
zebronics,32990,63,intel,core i5,4,8,16,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
zebronics,52990,72,intel,core i7,10,12,16,SSD,1024,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0,1024,2073600,141.21199808219862
zebronics,29990,56,intel,core i3,4,8,8,SSD,512,No secondary storage,0,intel,integrated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
hp,68710,67,intel,core i5,10,12,16,SSD,1024,No secondary storage,0,intel,integrated,False,14.0,1920,1080,windows,1.0,1024,2073600,157.3505121487356
lenovo,61712,60,amd,ryzen 5,6,12,8,SSD,512,No secondary storage,0,nvidia,dedicated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
asus,91990,71,amd,ryzen 7,8,16,16,SSD,1024,No secondary storage,0,nvidia,dedicated,False,15.6,1920,1080,windows,1.0,1024,2073600,141.21199808219862
hp,60990,66,intel,core i5,8,12,8,SSD,512,No secondary storage,0,nvidia,dedicated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
chuwi,32990,50,intel,core i3,6,8,12,SSD,512,No secondary storage,0,intel,integrated,True,13.5,2256,1504,windows,1.0,512,3393024,200.84255993695703
acer,72990,64,intel,core i5,12,16,16,SSD,512,No secondary storage,0,intel,integrated,False,14.0,2880,1800,windows,1.0,512,5184000,242.5880862528841
hp,23999,49,amd,ryzen 3,2,4,8,SSD,512,No secondary storage,0,amd,integrated,False,15.6,1366,768,dos,1.0,512,1049088,100.45466986113651
gigabyte,71990,67,intel,core i5,8,12,16,SSD,512,No secondary storage,0,nvidia,dedicated,False,15.6,1920,1080,windows,2.0,512,2073600,141.21199808219862
asus,84990,69,intel,core i5,12,16,16,SSD,512,No secondary storage,0,intel,integrated,True,14.0,3840,2400,windows,1.0,512,9216000,323.45078167051213
asus,17990,35,intel,celeron,2,2,4,SSD,64,No secondary storage,0,intel,integrated,False,15.6,1920,1080,chrome,1.0,64,2073600,141.21199808219862
lenovo,25790,50,intel,celeron,2,2,8,SSD,256,No secondary storage,0,intel,integrated,False,15.6,1366,768,windows,1.0,256,1049088,100.45466986113651
hp,31999,56,amd,ryzen 5,6,12,8,SSD,256,No secondary storage,0,amd,integrated,False,15.6,1920,1080,windows,1.0,256,2073600,141.21199808219862
acer,179990,78,intel,core i9,24,32,16,SSD,1024,No secondary storage,0,nvidia,dedicated,False,16.0,1920,1200,windows,1.0,1024,2304000,141.50971698084905
asus,72990,71,intel,core i7,8,16,16,SSD,512,No secondary storage,0,nvidia,dedicated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
hp,92800,76,intel,core i7,10,16,16,SSD,1024,No secondary storage,0,nvidia,dedicated,False,15.6,1920,1080,windows,1.0,1024,2073600,141.21199808219862
lenovo,48990,64,amd,ryzen 7,8,16,16,SSD,512,No secondary storage,0,amd,integrated,False,15.6,1920,1080,windows,1.0,512,2073600,141.21199808219862
